Move Number,Move,Evaluation
1,f2f4,-0.060873877492268406
2,f7f6,0.07620992467437504
3,c2c4,-0.07103517081077942
4,b8c6,0.06770475564078468
5,b1c3,-0.07565678376362689
6,h7h5,0.07979074061993802
7,b2b3,-0.07477794410584437
8,g7g6,0.06887808803220313
9,c1b2,-0.08301893214262886
10,f6f5,0.07498085298699905
11,d1c1,-0.06273827963305872
12,c6b4,0.0795437263697076
13,a2a3,-0.09852618708146475
14,b4a6,0.09111732546176687
15,d2d3,-0.057940115811885365
16,a6b8,0.06821591225681276
17,c3d5,-0.05955566530743559
18,h8h7,1.0660381345409886
19,c1d1,-0.06889556438706645
20,a7a6,0.9199803164082438
21,b2c3,-0.06544980773193046
22,h5h4,0.964379932462599
23,c3a5,-0.07155735787569469
24,f8h6,0.9732415644134321
25,a3a4,-0.9072162051562566
26,d7d6,1.0110114504512353
27,b3b4,-0.9022766046855981
28,h7f7,0.9378057416539052
29,d1c1,-0.9006581347285417
30,f7f8,0.9746621906464605
31,c1a3,-0.9135809781458741
32,e8f7,1.0103709637949112
33,g1f3,-0.9008729979223543
34,e7e6,0.9716770711994005
35,d5e3,-0.9364869605988564
36,h6f4,0.017843214605878482
37,e3c2,-1.9108352896675007
38,f4h6,-0.06823778407277997
39,d3d4,-1.0767174177615655
40,b8c6,-0.034038856650349
41,a5c7,-2.910554219085652
42,d8c7,-2.0880191656320473
43,f3h4,-3.048691853071043
44,c7b8,-1.0868133455351237
45,a3d3,-2.95778100194773
46,g8e7,-1.0614821205498814
47,g2g3,-2.9211436429948203
48,b8a7,-1.0136691622595515
49,b4b5,-2.951665013838239
50,a6b5,-1.94400974793755
51,c4b5,-3.021131442964181
52,a7a5,-1.9370666994480672
53,e1d1,-3.067837512259414
54,c6b8,-0.9482635271834963
55,h2h3,-2.9310918121968017
56,f7e8,-1.0651915339584863
57,h1h2,-2.9753353672569816
58,e7g8,-1.0503551563994098
59,h4g6,-1.9402889208724816
60,f8f6,-0.03911403266545761
61,g6h4,-2.0416141795593665
62,h6g5,-0.03884078459566789
63,h4g2,-1.9783774955868567
64,b7b6,-0.09120398664767648
65,d3a3,-1.9399976286761142
66,a5d2,-0.9715501239267086
