Move Number,Move,Evaluation
1,h2h3,-0.07943650552918809
2,g8h6,0.05202082260262808
3,e2e4,-0.07919412724435826
4,f7f6,0.07042454732315967
5,b1a3,-0.0651950166908319
6,h6g8,0.08177325051100298
7,d1h5,-0.027595087732802864
8,g7g6,0.985982293923331
9,h5d5,-0.08434154500777123
10,g8h6,0.9894499309377625
11,g1f3,-0.06762844097755734
12,c7c6,0.9729597931379595
13,d5d4,-0.06839465934097355
14,d7d6,0.9482655230111409
15,h3h4,-0.09683542782761179
16,h6g4,0.988879325811155
17,f1e2,-0.9252031962648405
18,h7h6,0.9961449828673069
19,d2d3,-0.9045366936193715
20,d8a5,0.08276499939089427
21,b2b4,-2.9413115678396835
22,a5d8,1.014217836932019
23,e1g1,-0.9124346563789331
24,h6h5,0.9564681760967761
25,c1b2,-0.9054821906720159
26,a7a6,0.9370383369932149
27,f3e1,-0.9240152032136308
28,g4h6,1.0556541113735478
29,a1c1,-0.08129982230153823
30,e8f7,0.979134071098859
31,d4c4,-0.045502067913257775
32,f7g7,1.0458181973321197
33,c1a1,-0.07604364087670011
34,e7e5,1.0026522891627336
35,g2g3,-0.08481208758929998
36,a8a7,0.9785349039307003
37,c4b3,-0.08158227563710681
38,d8e7,0.9121046320706603
39,e2f3,-0.07754367686930203
40,c8h3,0.9338763819550977
41,e1g2,-2.9195139561964023
42,h3g2,0.07759884131131689
43,f3g2,-0.059946490572156556
44,g7h7,0.9063176018826417
45,a3c4,-0.07094838724312323
46,f8g7,0.9482053554174488
47,c4a5,-0.07973088982990349
48,b7b6,1.0125432937604033
49,a5c4,-0.09471562937024408
50,h8f8,0.9450245299159376
51,c4b6,0.9002261517074946
52,f8d8,1.905603215464376
53,b3a3,0.9208447914730504
54,h6f7,1.9312156700836627
55,a1b1,0.9181887593561627
56,e7f8,1.9216565831916361
57,b2a1,0.9216689663423798
58,a7c7,1.919353194466735
59,f1d1,0.9184923156347137
60,g7h8,1.9503970988029613
61,d1d2,0.9220403014178516
62,h8g7,1.9417890345474564
63,b1b3,0.9264551494965523
64,d8e8,1.9198650601146388
65,c2c4,0.9299393440658265
66,a6a5,1.9549757380148212
67,b4a5,1.9055058490579162
68,f8g8,2.910818680570412
69,b3c3,1.935740034500822
70,c7b7,2.9156111156130047
71,b6a4,1.916459963286314
72,b7b1,2.0233230529743937
73,g2f1,-0.935086334070451
74,b1a1,-0.09660020195115092
75,d3d4,-3.9105923351866543
76,e5d4,-0.9672740630112777
77,d2d4,-3.901467922966925
78,b8d7,-0.06525765268705619
79,a3b4,-3.9008225011502944
80,a1a2,-0.9023306860269306
81,c4c5,-4.914965595368853
82,e8e5,-1.0840770348910516
83,c5d6,-3.939579774650608
84,g8h8,-0.08475960013503753
85,c3c6,-3.012958025364085
86,e5e8,0.08609081474314273
87,a4c3,-1.0999288211824054
88,a2c2,0.09410467695512875
89,d4d1,-2.9017547004212405
90,e8g8,0.08381041425200605
91,d1e1,-2.9026163716124103
92,f7h6,0.08964696930936236
93,b4a4,-2.9003697061408076
94,c2b2,0.09795616783727687
95,f2f4,-0.09672115443159937
96,b2b7,0.07588944682891438
97,a5a6,-0.07421211796872539
98,b7b2,0.08574747146220493
99,c6c4,-0.06869838399602526
100,d7f8,0.09317642299052778
101,a4a5,-0.054463570616993764
102,b2b8,0.950781155167941
103,e1c1,-0.0768763563972676
104,b8e8,0.9110368728326309
105,a5c7,-0.9086067506714333
106,e8e6,2.9020732301482632
107,c3b1,-0.9237803622867619
108,h6f7,2.9161872839918406
109,c7f7,1.914067852865725
110,e6e4,7.063123626315936
111,c4e4,6.917534488418987
112,f6f5,11.914929904066765
113,e4a4,6.988646321245892
114,h7h6,11.951182781899796
115,a4c4,7.0134073180953775
116,g7d4,10.060652659277547
117,g1h2,6.9136460709016845
118,d4g1,10.082779130755448
119,h2g1,9.905923510587074
120,f8e6,14.938914291827986
121,f7e6,12.904067212840156
122,g8b8,14.005236818402976
123,b1a3,12.911933179975952
124,h8g7,13.964952935624725
125,a3c2,12.926471638294574
126,g7a7,13.070723822996937
127,g1h1,12.0899632769133
128,a7a6,13.078071293889243
129,c4c3,9.070685417223947
130,a6b7,12.025248737900645
131,h1g1,11.907255229794163
132,b7a7,12.07659508219081
133,g1h1,11.909458279531522
134,a7b7,12.094013284991652
135,h1g1,11.917357616622756
136,b7a7,12.051445783551095
137,g1h2,11.901556205114767
138,a7f2,12.08652622237908
139,f1g2,8.966165797191602
140,b8b5,12.94573907419779
141,c2d4,9.07191471474973
142,f2d4,10.01363394083607
143,c3c6,8.050715382554325
144,d4f2,9.907796377866301
145,c1c3,6.096606786134673
146,f2a7,9.972574998000656
147,e6e1,8.916739860427962
148,a7b7,9.092077586630786
149,c6c4,5.927729911840121
150,b7b8,9.092031832857774
151,c3a3,8.09843011726655
152,b8d6,8.09859598065686
153,a3a4,7.067417053417075
154,d6f6,8.090669846785044
155,g2h1,7.099374665136175
156,b5b2,8.048877052419018
157,h2g1,7.003010561019581
158,f6b6,8.091015944024571
159,g1f1,7.903843104004954
160,h6g7,8.081408886441878
161,e1e7,7.952979921452158
162,g7h6,8.098407811488958
163,e7f8,8.081121056712243
164,h6h7,9.04269473142205
165,f8e7,7.979960080803417
166,h7h6,8.090084750087627
167,e7f8,7.977623372367386
168,h6h7,8.942328302941432
169,f1e1,7.949883362024584
170,b6g1,7.930627196636273
